id,timestamp,source,class_name,confidence,bbox_x1,bbox_y1,bbox_x2,bbox_y2,image_width,image_height,model_used
325,2025-11-09 22:55:41,live_feed,Class_39,0.2661830484867096,749.0,3.0,1181.0,632.0,1920,1080,YOLOv8
323,2025-11-09 22:55:40,live_feed,Class_39,0.25100332498550415,749.0,3.0,1182.0,632.0,1920,1080,YOLOv8
320,2025-11-09 22:55:35,live_feed,Class_68,0.38594290614128113,1039.0,67.0,1920.0,769.0,1920,1080,YOLOv8
321,2025-11-09 22:55:35,live_feed,FirstAidBox,0.30992990732192993,160.0,704.0,734.0,885.0,1920,1080,YOLOv8
322,2025-11-09 22:55:35,live_feed,OxygenTank,0.24136698246002197,0.0,736.0,84.0,818.0,1920,1080,YOLOv8
314,2025-11-09 22:55:34,live_feed,Class_68,0.3850424289703369,1039.0,68.0,1920.0,768.0,1920,1080,YOLOv8
315,2025-11-09 22:55:34,live_feed,FirstAidBox,0.3086682856082916,160.0,704.0,734.0,885.0,1920,1080,YOLOv8
316,2025-11-09 22:55:34,live_feed,OxygenTank,0.2413955181837082,0.0,736.0,84.0,818.0,1920,1080,YOLOv8
317,2025-11-09 22:55:34,live_feed,Class_68,0.3898484408855438,1039.0,69.0,1920.0,769.0,1920,1080,YOLOv8
318,2025-11-09 22:55:34,live_feed,FirstAidBox,0.3098762631416321,160.0,704.0,734.0,885.0,1920,1080,YOLOv8
319,2025-11-09 22:55:34,live_feed,OxygenTank,0.2415158897638321,0.0,736.0,84.0,818.0,1920,1080,YOLOv8
308,2025-11-09 22:55:33,live_feed,Class_68,0.3953901529312134,1039.0,70.0,1920.0,768.0,1920,1080,YOLOv8
309,2025-11-09 22:55:33,live_feed,FirstAidBox,0.3058331608772278,160.0,704.0,734.0,885.0,1920,1080,YOLOv8
310,2025-11-09 22:55:33,live_feed,OxygenTank,0.24107275903224945,0.0,736.0,84.0,818.0,1920,1080,YOLOv8
311,2025-11-09 22:55:33,live_feed,Class_68,0.3858886957168579,1039.0,69.0,1920.0,768.0,1920,1080,YOLOv8
312,2025-11-09 22:55:33,live_feed,FirstAidBox,0.30858299136161804,160.0,704.0,734.0,885.0,1920,1080,YOLOv8
313,2025-11-09 22:55:33,live_feed,OxygenTank,0.24137942492961884,0.0,736.0,84.0,818.0,1920,1080,YOLOv8
305,2025-11-09 22:55:32,live_feed,Class_68,0.39884471893310547,1039.0,81.0,1920.0,768.0,1920,1080,YOLOv8
306,2025-11-09 22:55:32,live_feed,FirstAidBox,0.31693747639656067,160.0,704.0,734.0,885.0,1920,1080,YOLOv8
307,2025-11-09 22:55:32,live_feed,OxygenTank,0.2394670993089676,0.0,736.0,84.0,818.0,1920,1080,YOLOv8
299,2025-11-09 22:55:29,live_feed,EmergencyPhone,0.18925784528255463,269.0,0.0,1909.0,1062.0,1920,1080,YOLOv8
300,2025-11-09 22:55:29,live_feed,FireExtinguisher,0.1692291498184204,1.0,9.0,529.0,1062.0,1920,1080,YOLOv8
301,2025-11-09 22:55:29,live_feed,FireExtinguisher,0.16766896843910217,0.0,0.0,1916.0,1070.0,1920,1080,YOLOv8
302,2025-11-09 22:55:29,live_feed,EmergencyPhone,0.189840629696846,269.0,0.0,1909.0,1062.0,1920,1080,YOLOv8
303,2025-11-09 22:55:29,live_feed,FireExtinguisher,0.16870717704296112,1.0,9.0,529.0,1062.0,1920,1080,YOLOv8
304,2025-11-09 22:55:29,live_feed,FireExtinguisher,0.16757988929748535,0.0,0.0,1916.0,1070.0,1920,1080,YOLOv8
293,2025-11-09 22:55:28,live_feed,EmergencyPhone,0.190923273563385,270.0,0.0,1909.0,1062.0,1920,1080,YOLOv8
294,2025-11-09 22:55:28,live_feed,FireExtinguisher,0.17080967128276825,0.0,0.0,1916.0,1070.0,1920,1080,YOLOv8
295,2025-11-09 22:55:28,live_feed,FireExtinguisher,0.17058199644088745,1.0,9.0,529.0,1062.0,1920,1080,YOLOv8
296,2025-11-09 22:55:28,live_feed,EmergencyPhone,0.19071827828884125,269.0,0.0,1909.0,1062.0,1920,1080,YOLOv8
297,2025-11-09 22:55:28,live_feed,FireExtinguisher,0.17179647088050842,1.0,9.0,529.0,1062.0,1920,1080,YOLOv8
298,2025-11-09 22:55:28,live_feed,FireExtinguisher,0.1693549007177353,0.0,0.0,1916.0,1070.0,1920,1080,YOLOv8
